web_id,mae,rmse,wape
qb1146021,1.4705882352941178,1.9250668437592438,1.25
qb1146022,1.3529411764705883,1.5904124511289146,1.0
qb1146023,1.7058823529411764,2.155703788448082,0.8055555555555556
qb1146026,1.6470588235294117,2.1693045781865616,0.9655172413793104
qb1146027,1.2352941176470589,1.7986923354612536,1.75
qb1146029,0.5294117647058824,0.7276068751089989,1.5
qb1146032,1.7647058823529411,1.9402850002906638,0.9375
qb1146033,1.6470588235294117,2.2228757209048453,1.12
qb1148517,1.2941176470588236,1.495090003192804,1.1
qb1148674,2.2941176470588234,2.6678918753996625,1.3448275862068966
qb1148675,1.8235294117647058,2.485250608738542,1.1481481481481481
qb1148680,3.3529411764705883,3.933266865506855,0.8028169014084507
qb1155004,1.7647058823529411,2.1693045781865616,0.75
qb1155074,3.4705882352941178,4.235702594681104,0.7023809523809523
qb1155114,1.4705882352941178,2.1282414723677108,0.5952380952380952
qb1155148,2.3529411764705883,3.086974532565159,0.625
qb1155155,1.8235294117647058,2.2622217085916954,0.8378378378378378
qb1155207,4.647058823529412,5.450310298775766,0.6124031007751938
qb1155288,1.8823529411764706,2.326319992151199,1.0
qb1156331,1.2941176470588236,1.4552137502179978,0.88
qb1156349,2.4705882352941178,3.0486255340823387,0.6666666666666666
qb1161125,2.823529411764706,3.6136994243312164,1.3714285714285714
qb1161490,5.529411764705882,7.9038337681971855,1.032967032967033
qb1167486,1.1764705882352942,1.3284223283101428,1.3333333333333333
qb1167489,1.4705882352941178,2.2622217085916954,0.9615384615384616
qb1167490,1.8235294117647058,2.155703788448082,0.9117647058823529
qb1167491,1.7647058823529411,2.400980191995124,
qb1167520,2.0588235294117645,3.0,3.1818181818181817
qb1167876,0.5882352941176471,0.9701425001453319,
qb1167877,1.3529411764705883,1.7986923354612536,1.2777777777777777
qb1178363,1.4705882352941178,1.6627404735414788,1.0869565217391304
qb1181234,0.8235294117647058,1.2366938848016846,2.0
qb1184790,0.7058823529411765,1.1881770515720091,4.0
qb1185101,0.8823529411764706,1.212678125181665,1.3636363636363635
qb1185305,1.0588235294117647,1.2366938848016846,0.8571428571428571
qb1187560,1.7647058823529411,2.3514701283890216,2.142857142857143
qb1187568,4.411764705882353,4.86886869333536,0.7575757575757576
qb1187717,2.411764705882353,2.960524595802734,1.2058823529411764
qb1187824,1.3529411764705883,1.8942637868358374,2.3
qb1187898,1.3529411764705883,1.9852396506689653,0.71875
qb1187899,0.4117647058823529,1.1114378604524227,
qb1187900,1.2352941176470589,1.6269784336399213,1.4
qb1187931,2.5294117647058822,2.9003042436755413,0.43434343434343436
qb1187943,2.4705882352941178,3.1059714782221377,1.105263157894737
qb1187954,1.7058823529411764,2.1282414723677108,0.3411764705882353
qb1188964,0.6470588235294118,1.4348601079588785,1.1
qb1188984,2.4705882352941178,3.289913283319897,1.2
qb1188993,0.35294117647058826,0.7669649888473704,
qb1189031,0.4117647058823529,1.0571882797418488,
qb1189278,1.0588235294117647,1.4142135623730951,1.6363636363636365
qb1189279,0.7647058823529411,1.212678125181665,1.8571428571428572
qb1189479,1.5294117647058822,2.700762419587999,3.7142857142857144
qb1189483,1.3529411764705883,1.7320508075688772,1.7692307692307692
qb1189490,0.23529411764705882,0.48507125007266594,
qb1189791,1.6470588235294117,2.4733877696033693,1.4
qb1189799,0.6470588235294118,1.1114378604524227,5.5
qb1190080,1.5294117647058822,2.1143765594836976,1.2380952380952381
qb1190097,2.1176470588235294,2.42535625036333,0.7058823529411765
qb1190108,0.6470588235294118,0.8744746321952062,1.5714285714285714
qb1190121,1.0,1.697749375254331,2.4285714285714284
qb1190155,1.3529411764705883,1.6269784336399213,1.6428571428571428
qb1190164,0.35294117647058826,0.5940885257860046,1.5
qb1190177,0.29411764705882354,0.8043996665398437,
qb1190293,1.3529411764705883,1.8311038136792213,0.92
qb1190333,0.058823529411764705,0.24253562503633297,
qb1190341,0.5294117647058824,1.3503812097939996,
qb1190355,0.35294117647058826,0.6859943405700354,
qb1190390,0.17647058823529413,0.42008402520840293,
qb1195235,0.7647058823529411,1.0,1.8571428571428572
qb1196605,2.4705882352941178,3.0678599553894816,1.2
qb1196609,1.9411764705882353,2.388698882852583,1.1785714285714286
qb1196616,0.35294117647058826,0.5940885257860046,0.8571428571428571
qb1198101,0.8235294117647058,1.3284223283101428,
qb1200343,0.8823529411764706,1.212678125181665,2.142857142857143
qb1202229,0.7058823529411765,1.4142135623730951,
qb1204322,0.6470588235294118,0.8744746321952062,1.2222222222222223
qb1204323,0.0,0.0,
qb1204724,1.0588235294117647,1.4552137502179978,
qb1209040,0.35294117647058826,0.5940885257860046,
qb1210180,0.6470588235294118,1.0,
qb1210181,0.9411764705882353,1.6087993330796875,1.7777777777777777
qb1213038,2.176470588235294,2.818009309883173,1.088235294117647
qb1222999,0.8823529411764706,1.697749375254331,
qb1223004,0.47058823529411764,0.7669649888473704,
qb1224752,0.8823529411764706,1.212678125181665,0.5769230769230769
qb1225028,1.0588235294117647,1.6087993330796875,
qb1225208,1.1176470588235294,1.475286612233465,1.1875
qb1225357,0.0,0.0,
qb1225653,0.8235294117647058,1.4142135623730951,0.875
qb1226819,2.0,2.9104275004359956,4.857142857142857
qb1226820,0.35294117647058826,0.5940885257860046,1.0
qb1227094,1.1764705882352942,1.970368732287556,2.5
qb1228041,0.8823529411764706,1.7320508075688772,7.5
qb1228042,1.588235294117647,2.182820625326997,3.0
qb1228604,1.9411764705882353,3.134251012884052,1.5714285714285714
qb1228959,0.47058823529411764,0.6859943405700354,1.1428571428571428
qb1231544,0.7647058823529411,1.5529857391110689,
qb1231625,0.47058823529411764,0.8401680504168059,0.8888888888888888
qb1231628,0.47058823529411764,0.6859943405700354,1.1428571428571428
qb1231629,4.117647058823529,4.727889717037675,0.7446808510638298
qb1231630,2.235294117647059,2.7865221840769436,1.0
qb1231631,1.0,2.23606797749979,8.5
qb1231633,1.0,1.5529857391110689,
qb1231635,2.0588235294117645,2.461467759165609,1.25
qb1231636,1.1176470588235294,1.5146344928922038,1.2666666666666666
qb1231637,1.6470588235294117,2.1693045781865616,0.9655172413793104
qb1231639,4.352941176470588,5.064292529419031,0.9866666666666667
qb1231640,1.7647058823529411,2.0291986247835694,1.0
qb1231641,0.8823529411764706,1.2602520756252087,0.9375
qb1231859,0.11764705882352941,0.48507125007266594,
qb1231900,2.5294117647058822,2.9405881764588204,1.162162162162162
qb1231978,0.35294117647058826,0.5940885257860046,1.2
qb1234205,0.0,0.0,
qb1235306,0.7058823529411765,1.2833778958394957,6.0
qb1239618,3.235294117647059,3.796283011826483,1.71875
qb1239619,1.7647058823529411,2.7224556389190906,6.0
qb1239621,0.7647058823529411,1.0,2.1666666666666665
qb1239622,1.4705882352941178,1.6627404735414788,1.3157894736842106
qb1239624,0.8235294117647058,1.4142135623730951,2.0
qb1239628,0.0,0.0,
qb1239636,0.6470588235294118,1.2602520756252087,3.6666666666666665
qb1240657,2.1176470588235294,2.8491484796029023,1.7142857142857142
qb1240693,2.176470588235294,2.9003042436755413,1.15625
qb1240786,1.9411764705882353,2.711630722733202,1.9411764705882353
qb1240801,1.8235294117647058,2.7759471091757453,2.8181818181818183
qb1240820,0.23529411764705882,0.48507125007266594,
qb1240857,0.35294117647058826,0.7669649888473704,
qb1240858,0.47058823529411764,0.9701425001453319,
qb1240862,0.29411764705882354,0.5423261445466404,
qb1241354,2.823529411764706,5.820855000871991,1.0
qb1244028,0.058823529411764705,0.24253562503633297,
qb1250130,0.5882352941176471,0.8401680504168059,1.6666666666666667
qb1250131,1.1176470588235294,1.6627404735414788,2.7142857142857144
qb1250133,0.0,0.0,
qb1250134,1.0588235294117647,1.4142135623730951,1.5
qb1250259,0.8823529411764706,1.5529857391110689,3.75
qb1250314,0.8235294117647058,1.137592917989042,0.875
qb1250532,0.0,0.0,
qb1250539,1.4705882352941178,1.8629514849544841,0.7575757575757576
qb1250618,0.11764705882352941,0.3429971702850177,
qb1261007,0.7058823529411765,0.8401680504168059,0.8
qb1261223,0.7647058823529411,1.1114378604524227,1.8571428571428572
qb1261224,1.2352941176470589,1.697749375254331,1.5
qb1261225,1.1176470588235294,1.7320508075688772,1.7272727272727273
qb1261226,1.1764705882352942,1.6803361008336117,1.1111111111111112
qb1261227,1.2941176470588236,1.8470962903655979,2.4444444444444446
qb1261228,1.6470588235294117,2.0579830217101063,3.5
qb1261229,2.3529411764705883,3.5809955894645706,1.2121212121212122
qb1261580,0.47058823529411764,0.6859943405700354,1.1428571428571428
qb1261581,0.6470588235294118,0.8744746321952062,1.5714285714285714
qb1261616,0.23529411764705882,0.5940885257860046,
qb1261617,0.8235294117647058,1.137592917989042,1.2727272727272727
qb1261618,1.3529411764705883,2.072225288683357,2.875
qb1263151,2.5294117647058822,3.2629831172608617,0.5972222222222222
qb1264150,0.47058823529411764,1.1881770515720091,1.0
qb1269040,1.0588235294117647,1.4142135623730951,1.5
qb1269117,0.35294117647058826,0.7669649888473704,
qb1270471,1.0588235294117647,1.2366938848016846,1.2857142857142858
qb1270473,0.5882352941176471,0.8401680504168059,1.1111111111111112
qb13197152,0.7647058823529411,1.0571882797418488,2.1666666666666665
qb13197154,0.47058823529411764,0.6859943405700354,1.1428571428571428
qb13197155,0.35294117647058826,0.5940885257860046,0.8571428571428571
qb13201756,0.29411764705882354,0.6416889479197478,
qb13201757,1.0588235294117647,1.5339299776947408,1.5
qb13201796,0.47058823529411764,1.0846522890932808,
qb13208915,0.8235294117647058,1.495090003192804,4.666666666666667
qb13210446,2.176470588235294,2.733237683644457,
qb13210449,0.7647058823529411,1.0,1.8571428571428572
qb13210482,1.6470588235294117,2.42535625036333,3.111111111111111
qb13210485,2.5294117647058822,4.5439034786766115,3.5833333333333335
qb13231331,1.0588235294117647,1.8149704259460602,
qb13231332,0.35294117647058826,0.6859943405700354,
qb13231665,1.0588235294117647,1.3719886811400708,1.0588235294117647
qb13231715,1.0588235294117647,1.7822655773580136,1.0
qb13232144,0.7647058823529411,1.3060943124220303,1.1818181818181819
qb13242458,0.29411764705882354,0.5423261445466404,1.0
qb13262231,1.4705882352941178,2.209604702469759,1.1904761904761905
qb13262232,1.1764705882352942,1.8149704259460602,4.0
qb13262234,0.9411764705882353,1.1881770515720091,0.7619047619047619
qb13262235,1.9411764705882353,2.388698882852583,1.1379310344827587
qb13262275,1.9411764705882353,2.733237683644457,1.1785714285714286
qb13262282,1.0588235294117647,2.275185835978084,
qb13262406,1.5294117647058822,2.1962534944228786,1.1818181818181819
qb13263699,1.3529411764705883,1.697749375254331,1.0454545454545454
qb13263700,1.8235294117647058,2.100420126042015,0.6739130434782609
qb13263711,0.9411764705882353,1.0846522890932808,0.8421052631578947
